Batrach,paraphrase,line
μαλαχῶν,μαλάχων,161
μάχεσθαι,ἀφανῖσαι,264
μαχητάς,πολεμιστάς,169
μαχητὴν,πολεμιστὴν,22
μεγαλήτορος,μεγαλοψύχου καὶ γενναίου,27
μεγαλήτορος,μεγαλοψύχου καὶ γενναίου,137
μέλαιναν,ἀμαυρὰν,86
μέλας,σκοτεινός,208
μελιηδέϊ,ἡδεῖ καὶ χαρίεντι,11
μεμηλώς,,123
μεμφομένων,αἰτιωμένων δ καὶ κακηγορούντων,146
ἐμέμφετο,ἠιτιᾶτο καὶ κατεγίνωσκεν,70
μέμφονται,αἰτιῶνται,150
μενεαίνων,διετείνετο,264
μερόπεσσιν,ἀνθρώπων,5
μερόπων,ἀνθρώπων,40
μεσόμφαλον,μέσος ὀμφαλός,129
μετάνοιαν,μετανοῶν,70
μετασχεῖν,μετασχεῖν,262
μέτωπον,μέτωπον,238
μὴ,ὅπως μὴ,14
μηρούς,,124
μιχθεὶς,μιγεὶς καὶ συνδυασθεὶς,20
μονοήμερος,εἰς μίαν ἡμέραν,303
μόρον,θάνατον,90
μῦθον,λόγον,76
μύθους,λόγους,92
μυοκτόνον,τῶι φόνῶι τῶν μυῶν,159
ναυηγὸν,εἰς λίμνην,94
νέον,νεωστί,3
νεόπηκτος,νεωστὶ πεπηγμένος,38
νήξει,νήξει καὶ πορείαι,68
νήξεις,νήξεις,149
νηόν,ναῶι,175
ἐνόησαν,,131
νοήσας,λογισάμενος,84
νόησε,εἶδεν,269
νοήσω,ἐννοήσω,14
νωτάκμονες,τινὲς νῶτα ἔχοντες,294
νώτοισι,νῶτα,62
νώτοισιν,,76
νυ,γε,28
Ξεῖνε,ὦ φίλε,13
ξεινήϊα,ξενίας καὶ φιλίας,16
ξύναγον,συνῆγον,134
ὄβριμον,ἰσχυρόν,282
οἴκαδ',,262
οἶκον,οἶκον,80
ὀκτάποδες,ὀκτω πόδας ἔχοντες,298
ὄλεθρον,θάνατον,279
ὄλεθρον,θάνατον,249
ὄλυμπον,οὐρανόν,286
ὀλλύμενον,ἀπολόμενον,148
ὀλλύμενος,ἀπολόμενος,87
ὀλλύμενος,ἀπολόμενος,92
ὄμμα,ὀφθαλμὸν,97
ὀξυόεντι,ὀξεῖ καὶ τμητικῶι,194
ὀξύσχοινον,σχοίνωι ὀξεῖ,253
ὀξύσχοινος,σχοῖνος ὀξὺς καὶ μακρός,164
ὀξύσχοινος,ὀξὺς σχοῖνος,245
ὁπλίζεσθαι,καθοπλίζεσθαι,140
ὅπλοις,καθωπλισμένοι,153
ὅππως,ἵνα,64
ὅραμα,θέαμα,82
ὁρμηθέντες,,155
ὁρῶμαι,θεῶμαι,272
ὁρῶντες,θεώμενοι,196
ὀστοφυεῖς,ὀστώδεις τὸ ὃλον σῶμα,296
ὀστρακόδερμοι,δέρματα στερεὰ καὶ ὀστρακώδη,295
ὅτ',ἡνίκα,67
ὅτ' ,ἡνίκα,79
οὔατα,ὦτα,5
οὐδὲν,μὴ ὄντα,32
οὐλύμπου,οὐρανοῦ,292
οὐρανίοις πετεηυοῖς,πετεινοῖς τοῦ οὐρανοῦ, 26
οὐρανόθεν,ἐκ τοῦ οὐρανοῦ,196
οὐρανόθεν,ἐκ τοῦ οὐρανοῦ,200
ὄχθας,παρὰ ταῖς ὄχθαις,20
ὄχθαις,ὄχθαις,166
ὄχθαις,ὄχθαις,223
ὄχθηισιν,ὄχθαις,247
παγχάλκεον,στερεώτατον,130
παίζων,παίζων,148
παλάσσετο,διεβρέχετο,229
παντοδαπτοῖσιν,ἡδύσμασι παντοίοις,41
παντοδαποῖσιν,διαφόροις τε καὶ πολλοῖς,176
πάντως,δηλαδή,148
παρέθηκε,ἐνέβαλε,10
πέσεν,ἔπεσε,87
πεσόντα,πεσόντα,207
πεσών,,205
ἔπεφνεν,ἐφόνευσε,141
ἔπεφνε,ἀνεῖλεν,209
ἔπεφνεν,ἀπέκτεινεν,226
πῆξεν,ἐπηξε,207
πικρὸν,φοβερόν,82
πλακοῦς,πέμμα,36
πλανήσας,ἀπατήσας καὶ ψευσάμενος,96
πλατύνωτοι,εὐρεῖς τὰ νῶτα,297
πλεῖον,μέγιστον,91
πληθύν,πλῆθος,169
πλήξας,παίσας,228
πλησίον,πλησίον,10
πνίξαντες,πνίξαντες,158
πόδεν,πόθεν,13
ποθέουσιν,ποθοῦσιν,39
ποιῆι,ποιεῖς,32
ἐποίησαν,κατεσκεύασεν,128
ποιήσας,πεποιηκώς,93
πολεμόκλονον,πολυτάραχον,4
πορεύσηι,ἀπελεύσηι,174
πορθήσειν,ἀφανίσειν,291
πορφυρέοις,πορφυποῖς καὶ μέλασι,69
πορφυρέοισιν,πορφυποῖς καὶ μέλασι,76
ποτε,ποτε,9
πράσσει,ἀπαιτεῖ,185
πρηνής,ἐπὶ πρόσωπον,204
προμάχοις,πρωταγονισταίς,203
προμάχων,πρωταγονιστῶν,253
προπεσόντα,προπεσόντα,252
προσέειπεν,πρός...εἶπεν,173
προσέειπεν,πρός...εἶπεν,177
πρόσθεν,αέμπροσθεν,236
πρώτης,προηγουμένως,1
πτέρνης,κοπιδίου,37
πῶς,ὃν τρόπον,6
πῶς,τίνα τρόπον,32
ἔρεξαν,εἰγάσαντο,181
ῥήξαντες,σχίσαντες,125
ῥήξας,σχίσας,265
ῥίψας,ἀπορρίψας ἄνωθεν,94
ῥίψας,ἀπορρίψας,225
ῥίψεν,ἔρριψεν,237
σάκος,ἀσπίδα,254
σείοντες,κινοῦντες,167
σελίδος,Μουσῶν,1
σεύτλων,σεύτλων,162
σησαμότυρον,πολλὴν σησάμην καὶ τυρὸν τετριμμένον,36
σκάζων,ὁρμῶν,248
σκεπτομένων,σκοπουμένων,135
σκηπτοῦχον,σκηπτροφόρον,21
σκιρτῆσαι,χορεῦσαι καὶ ταρπῆναι,61
στρεβλοί,σκολιοὶ καὶ καμπύλοι,295
στέμματα,τοὺς στεφάνους καὶ τὰ διαδήματα,180
στέρνων,στήθους,297
σύκοις,σύκοις,31
σύρων,ἐπισύρων,75
σχέτο,ἔσχισε,254
σώματα,σώματα,153
σώματος,σώματοσ,208
ἔσφιγγε,ἔσφιγγε...συνεῖχε,88
τανύπεπλος,εὐρύπλαστος,36
ἐτάραξε,ἐκίνησε,145
τάφρους,τάφρον,249
τάχιστα,ὅ τι τάχος,64
τείρετο,κατεπονεῖτο,248
τειρομένοισι,καταπονουμένοις,173
τειρομένοισιν,νικωμένοις καὶ καταπονουμένοις ,178
τελετὴ,τέλος,303
ἐξετελέσθη,ἐτελεσιουργήθη,303
τέρας,σημεῖον,201
τερπόμενοι,εὐφραινόμενοι,176
τερπόμενος,εὐφραινόμενος,11
τερπόμενος,χαίρων καὶ ἀγαλλόμενος,68
τερπώμεθα,εὐφραινώμεθα καὶ ἀγαλλώμεθα,196
τεύχουσι,παρασκευάζουσιν,40
τίλλε,ἀνέσπα,70
τιμῶμαι,τιμῶν ἀξιοῦμαι,18
τόκον,τόκον,185
τόμος,τμήματα,37
ἐτράποντο,ἐτράπησαν,302
τρισκοπάνιστος,πολυκοπάνιστος,35
τρόπαιον,τρόπαιον,159
τρυφάλειαν,κράνος,255
τρώγειν,ἐσθίειν,34
τρώγω,ἐσθίω,53
τύψε,ἔπαισε,244
ὕδασιν,ὕδατι,33
ὕδασι,ὕδατι,61
ὕδασι,κύμασι,76
ὕδατι,ὕδατι,81
ὑπαλύξαι,ἐκφυγεῖν,90
ὑπεμεινεν,,258
ὑπὲρ ὕδατος,ὑπεράνω τοῦ ὕδατος,83
ὑπέδ<δ>εισαν,ἐφοβήθησαν,301
ὕπτιος,ὕπτιος,87
ὕπτιος,ἐπὶ τὰ μετάφρενα,242
ὑψηλαῖσι,ὑψηλαῖς,166
ὑψώσας,ἄρας καὶ ἐπικουφίσας,81
φάτιν,ἀγγελίαν,138
φάτο,εἶπε,76
φεύγων,φεύγων,225
ἔφη,εἶπεν,177
ἔφη,εἶπε,285
ἔφη,εἶπεν,197
ἐφήρμοσαν,ἔθηκαν,124
ἐφθέγξατο,εἶπε,12
