Homeric,Paraphrase,Example
πρηνής,ἐπὶ πρόσωπον,24.11
ῥινούς,βΰρσας,8.61
σήκασθεν,εἰς σηκὸν κατεκλείσθενσαν,8.131
σημάντορος,ἡνϊοχήσαντος,8.127
σημάντορος,ἄρχοντος ἤτε ποιμένος,15.325
ἐσκίδναντ',ἐσκορπιζοντο,24.2
σμώδιγγες,,23.716
σορός,,23.91
στρεύγεσθαι,δαμάζεσθαι,15.512
στυγέει,λϋπεῖ,8.370
στυγέῃ,μισήσει,1.186
στυγέῃσι,φοβηθῆ,8.515
στυγέουσι,μισοῦσι,15.167
ταρπήμεναι,ἐμπλησθῆναι,24.3
τέως,,24.658
τιτύσκετο,ὑπεζεύγνῦε,8.41
τολύπευσε,κατεργάσατο,24.7
τροφῆς,δόρποιο,24.2
ὕπατε,βασϊλεῦ,8.31
ὕπατον,μέγϊστον βασϊλέα,8.22
ὑπάτῃ,ἀνωτάτη,24.787
ὑπερμενέα Κρονίωνα,μεγαλοδΰναμον δΐα,8.470
ὑπηνήτῃ,γενειάζειν,24.348
ὕπτιος,ἐπὶ νωτοῦ,24.11
φιάλη,,23.616
φιάλῃ,,23.243
φιάλην,,23.253
φιάλην,,23.270
φίλου,προσφιλοῦς,24.4
ἐφόβησε,εἰς φυγὴν ἔτρεψε,15.15
φραδέος,συνετοῦ,24.354
χαλκοχιτώνων,σιδηροθωρακῶν,15.56
χρόμαδος,,23.688
